序号,违规类型,问题,Javert 优先级,要/不要 (Y/N)
R001,诱导虚假就医,通过减免费用、返还现金、给予物质好处、承诺免费吃喝、承诺免费体检等方式，拉拢诱导参保人员虚假住院、无指征住院、低标准住院。,P3 不建议,
R002,诱导虚假就医,留存参保人员医保凭证，空刷、套刷医保基金。,P3 不建议,
R003,虚构医药服务项目,套用模版病历下达虚假医嘱、虚构检查检验项目、开具虚假处方、虚假开具药品。,P3 不建议,
R004,虚构医药服务项目,药品耗材，申请医保支付数量大于实际采购、使用数量。,P3 不建议,
R005,伪造变造资料,雇佣无资质人员冒名违法开展诊疗活动。,P3 不建议,
R006,伪造变造资料,伪造检查检验报告、篡改检查检验指标参数、伪造病历资料等。,P3 不建议,
R007,将不属于医保支付范围的纳入医保基金结算,申请医保支付的药品，超出药品说明书适应症范围或不符合医保药品目录限定支付条件。,P2 备选,
R010,串换项目,为患者提供的级别护理与医保结算的级别护理等级不符。,P2 备选,
R011,将不属于医保支付范围的纳入医保基金结算,超医疗设施设备注册证适用范围开展诊疗服务，并将相关费用并纳入医保结算。,P2 备选,
R012,DRG/DIP高编高套,将分值、权重低的病组高编、高套为分值、权重高的病组。,P2 备选,
R013,虚构医药服务项目或重复收费,开展心内诊疗，实际使用的一次性高值耗材数量与收费数量不符。,P3 不建议,
R014,串换项目,开展心内诊疗，不同厂家、不同规格、不同价格的一次性高值耗材之间相互串换收费。,P2 备选,
R015,虚构医药服务项目,未开展相关诊疗项目，但收取对应诊疗费用。,P2 备选,
R018,重复收费,开展冠脉内局部放射治疗，重复收取同位素放射源及放疗装置的使用费用。,P1 推荐,
R019,串换项目,将冠脉介入项目，如冠脉内支架置入术，串换为费用更高的冠脉腔内激光成形术、冠脉内膜旋磨术、定向冠脉内膜旋磨术等收费。,P2 备选,
R020,超标准收费,开展经血管介入项目，扩张多支血管超出计价标准。如：定向冠脉内膜旋切术、经皮冠状动脉内支架置入术(STENT)、经皮冠状动脉腔内激光成形术(ELCA)、高速冠状动脉内膜旋磨术等。,P2 备选,
R022,串换项目,常规心电图检查各导联之间串换收费。,P3 不建议,
R023,分解收费,将常规心电图检查(×通道加收)，分解为多个较少通道加收（如十二通道加收、三通道加收）项目收费。,P2 备选,
R024,串换项目,使用血压计、监护仪监测血压，按照动态血压监测进行收费。,P2 备选,
